Traning started.....
Epoch[0] Finished[5.779%]Batch[43]loss_adversarial:1.3786498308181763
Epoch[0] Finished[5.779%]Batch[43]iou_adversarial:0.1827786624065895
Epoch[0] Finished[5.779%]Batch[43]acc_adversarial:0.5314760208129883
Epoch[0] Finished[5.913%]Batch[44]loss_adversarial:1.619604229927063
Epoch[0] Finished[5.913%]Batch[44]iou_adversarial:0.2309889549815351
Epoch[0] Finished[5.913%]Batch[44]acc_adversarial:0.4843330383300781
Epoch[0] Finished[6.048%]Batch[45]loss_adversarial:1.1747124195098877
Epoch[0] Finished[6.048%]Batch[45]iou_adversarial:0.254775305326214
Epoch[0] Finished[6.048%]Batch[45]acc_adversarial:0.5627365112304688
Epoch[0] Finished[6.182%]Batch[46]loss_adversarial:1.2473336458206177
Epoch[0] Finished[6.182%]Batch[46]iou_adversarial:0.2123181824580793
Epoch[0] Finished[6.182%]Batch[46]acc_adversarial:0.5221500396728516
Epoch[0] Finished[6.317%]Batch[47]loss_adversarial:1.2798699140548706
Epoch[0] Finished[6.317%]Batch[47]iou_adversarial:0.18231988753903572
Epoch[0] Finished[6.317%]Batch[47]acc_adversarial:0.6229696273803711
Epoch[0] Finished[6.451%]Batch[48]loss_adversarial:1.5707581043243408
Epoch[0] Finished[6.451%]Batch[48]iou_adversarial:0.230731996338139
Epoch[0] Finished[6.451%]Batch[48]acc_adversarial:0.5470085144042969
Epoch[0] Finished[6.586%]Batch[49]loss_adversarial:1.3980170488357544
Epoch[0] Finished[6.586%]Batch[49]iou_adversarial:0.23003864645221836
Epoch[0] Finished[6.586%]Batch[49]acc_adversarial:0.4534883499145508
Epoch[0] Finished[6.720%]Batch[50]loss_adversarial:1.2549198865890503
Epoch[0] Finished[6.720%]Batch[50]iou_adversarial:0.18156627972258524
Epoch[0] Finished[6.720%]Batch[50]acc_adversarial:0.5126199722290039
Epoch[0] Finished[6.854%]Batch[51]loss_adversarial:1.2219723463058472
Epoch[0] Finished[6.854%]Batch[51]iou_adversarial:0.19897259484418306
Epoch[0] Finished[6.854%]Batch[51]acc_adversarial:0.5227336883544922
Epoch[0] Finished[6.989%]Batch[52]loss_adversarial:0.9849150776863098
Epoch[0] Finished[6.989%]Batch[52]iou_adversarial:0.21783674458230015
Epoch[0] Finished[6.989%]Batch[52]acc_adversarial:0.7257680892944336
Epoch[0] Finished[7.123%]Batch[53]loss_adversarial:0.9772647023200989
Epoch[0] Finished[7.123%]Batch[53]iou_adversarial:0.2537338636830903
Epoch[0] Finished[7.123%]Batch[53]acc_adversarial:0.7032365798950195
Epoch[0] Finished[7.258%]Batch[54]loss_adversarial:1.6962764263153076
Epoch[0] Finished[7.258%]Batch[54]iou_adversarial:0.23586011695578113
Epoch[0] Finished[7.258%]Batch[54]acc_adversarial:0.5543508529663086
Epoch[0] Finished[7.392%]Batch[55]loss_adversarial:1.4877818822860718
Epoch[0] Finished[7.392%]Batch[55]iou_adversarial:0.23818255320006368
Epoch[0] Finished[7.392%]Batch[55]acc_adversarial:0.5211706161499023
